season,week,accept_rate
19,9,0.376
19,10,0.406
19,11,0.538
20,2,0.18333333333333332
20,3,0.31
20,4,0.284
20,5,0.25733333333333336
20,6,0.296
20,7,0.228
20,8,0.5773333333333334
20,9,0.4533333333333333
21,2,0.5846666666666667
21,4,0.41533333333333333
21,6,0.44666666666666666
21,7,0.2793333333333333
21,8,0.378
21,9,0.2866666666666667
21,11,0.5033333333333333
22,2,0.508
22,3,0.324
22,4,0.2806666666666667
22,6,0.3273333333333333
22,7,0.414
22,8,0.30733333333333335
22,9,0.546
23,2,0.24066666666666667
23,3,0.27266666666666667
23,4,0.49
23,6,0.37333333333333335
23,7,0.268
23,8,0.3586666666666667
23,9,0.3233333333333333
23,10,0.332
23,11,0.5113333333333333
24,2,0.33666666666666667
24,3,0.29933333333333334
24,4,0.2846666666666667
24,5,0.23333333333333334
24,6,0.182
24,7,0.5
24,8,0.43933333333333335
24,9,0.43733333333333335
25,2,0.4686666666666667
25,4,0.196
25,5,0.2793333333333333
25,6,0.37066666666666664
25,7,0.40066666666666667
25,8,0.33866666666666667
25,9,0.35
25,10,0.432
26,1,0.45866666666666667
26,2,0.49533333333333335
26,3,0.6693333333333333
27,1,0.21466666666666667
27,2,0.27666666666666667
27,3,0.242
27,4,0.16533333333333333
27,6,0.2613333333333333
27,7,0.45066666666666666
27,8,0.5133333333333333
28,2,0.414
28,4,0.5493333333333333
28,6,0.016666666666666666
28,7,0.38666666666666666
28,8,0.37333333333333335
28,9,0.674
28,10,0.7393333333333333
29,2,0.432
29,3,0.4646666666666667
29,4,0.524
29,5,0.478
29,6,0.448
29,7,0.5766666666666667
29,8,0.372
29,9,0.392
29,10,0.8153333333333334
30,2,0.44666666666666666
30,3,0.084
30,4,0.7826666666666666
30,5,0.034666666666666665
30,6,0.5266666666666666
30,7,0.5046666666666667
30,8,0.7826666666666666
30,9,0.7793333333333333
31,1,0.334
31,2,0.45266666666666666
31,3,0.3626666666666667
31,4,0.49866666666666665
31,5,0.43466666666666665
31,6,0.4746666666666667
31,7,0.43533333333333335
31,8,0.86
31,9,0.9053333333333333
32,1,0.37733333333333335
32,2,0.22
32,3,0.5413333333333333
32,4,0.21266666666666667
32,5,0.38333333333333336
32,6,0.24866666666666667
32,7,0.076
32,8,0.2926666666666667
32,9,0.562
33,2,0.5526666666666666
33,3,0.794
33,4,0.47333333333333333
33,5,0.482
33,6,0.22
33,7,0.5806666666666667
34,2,0.7526666666666667
34,3,0.43933333333333335
34,4,0.24466666666666667
34,6,0.424
34,7,0.3006666666666667
34,8,0.4866666666666667
34,9,0.512
34,10,0.254
