season,week,gap_prob
19,8,0.2688927943760984
19,9,0.33687943262411346
19,10,0.21674876847290642
19,11,0.14622057001239158
20,2,0.9781818181818182
20,3,0.578494623655914
20,4,0.7582159624413145
20,5,0.5647668393782384
20,6,0.5405405405405406
20,7,0.4824561403508772
20,8,0.312933025404157
20,9,0.125
21,2,0.7651083238312428
21,4,0.3884430176565008
21,6,0.3567164179104478
21,7,0.5441527446300716
21,8,0.32451499118165783
21,9,0.33488372093023255
21,11,0.17218543046357615
22,2,0.5039370078740157
22,3,0.6934156378600823
22,4,0.7387173396674585
22,6,0.5417515274949084
22,7,0.5571658615136876
22,8,0.3579175704989154
22,9,0.25396825396825395
23,2,0.9335180055401662
23,3,0.8019559902200489
23,4,0.6829931972789116
23,6,0.5553571428571429
23,7,0.5049751243781094
23,8,0.34944237918215615
23,9,0.38969072164948454
23,10,0.19879518072289157
23,11,0.16558018252933507
24,2,0.7227722772277227
24,3,0.6547884187082406
24,4,0.65807962529274
24,5,0.5971428571428572
24,6,0.5970695970695971
24,7,0.38
24,8,0.17298937784522003
24,9,0.21036585365853658
25,2,0.8605974395448079
25,4,0.7891156462585034
25,5,0.7159904534606205
25,6,0.42805755395683454
25,7,0.5158069883527454
25,8,0.33267716535433073
25,9,0.21142857142857144
25,10,0.12962962962962962
26,1,0.7020348837209303
26,2,0.48183041722745623
26,3,0.32270916334661354
27,1,0.9130434782608695
27,2,0.8072289156626506
27,3,0.696969696969697
27,4,0.9153225806451613
27,6,0.673469387755102
27,7,0.5266272189349113
27,8,0.24025974025974026
28,2,0.7729468599033816
28,4,0.5521844660194175
28,6,0.72
28,7,0.4810344827586207
28,8,0.3410714285714286
28,9,0.3086053412462908
28,10,0.2146077547339946
29,2,0.9490740740740741
29,3,0.6901004304160688
29,4,0.9249363867684478
29,5,0.7447698744769874
29,6,0.7514880952380952
29,7,0.6624277456647398
29,8,0.532258064516129
29,9,0.3673469387755102
29,10,0.36140637775960754
30,2,0.7223880597014926
30,3,0.9841269841269841
30,4,0.883304940374787
30,5,0.75
30,6,0.710126582278481
30,7,0.6406869220607662
30,8,0.4557069846678024
30,9,0.281437125748503
31,1,0.936127744510978
31,2,0.9410898379970545
31,3,0.9264705882352942
31,4,0.7967914438502673
31,5,0.8957055214723927
31,6,0.6460674157303371
31,7,0.6799387442572741
31,8,0.4201550387596899
31,9,0.26362297496318116
32,1,0.8144876325088339
32,2,0.7575757575757576
32,3,0.7598522167487685
32,4,0.7021943573667712
32,5,0.5930434782608696
32,6,0.6273458445040214
32,7,0.631578947368421
32,8,0.40774487471526194
32,9,0.23843416370106763
33,2,0.8311218335343787
33,3,0.6423173803526449
33,4,0.6450704225352113
33,5,0.5435684647302904
33,6,0.38181818181818183
33,7,0.24799081515499427
34,2,0.8644818423383526
34,3,0.802731411229135
34,4,0.7956403269754768
34,6,0.6871069182389937
34,7,0.5676274944567627
34,8,0.5698630136986301
34,9,0.3658854166666667
34,10,0.3333333333333333
