season,week,alpha,elim
8,2,0.40170544876427217,Belinda Carlisle
8,3,0.382139037433155,Denise Richards
8,4,0.3835886688827864,Steve Wozniak
8,5,0.35454545454545455,David Alan Grier
8,6,0.35,Steve-O
8,7,0.36423788632517273,Lawrence Taylor
8,8,0.43423788632517274,Chuck Wicks
8,9,0.48261515908574726,Lil' Kim
8,10,0.4799780315074432,Ty Murray
9,1,0.43049329049329044,Macy Gray
9,2,0.40170544876427217,Kathy Ireland
9,3,0.382139037433155,Debi Mazar
9,4,0.3835886688827864,Chuck Liddell
9,5,0.35454545454545455,Natalie Coughlin
9,6,0.35,Melissa Joan Hart
9,7,0.36423788632517273,Michael Irvin
9,8,0.43423788632517274,Aaron Carter
9,9,0.48261515908574726,Joanna Krupa
10,2,0.40170544876427217,Shannen Doherty
10,3,0.382139037433155,Buzz Aldrin
10,4,0.3835886688827864,Aiden Turner
10,5,0.35454545454545455,Kate Gosselin
10,6,0.35,Jake Pavelka
10,7,0.36423788632517273,Pamela Anderson
10,8,0.43423788632517274,Niecy Nash
10,9,0.48261515908574726,Chad Ochocinco
11,1,0.43049329049329044,David Hasselhoff
11,2,0.40170544876427217,Michael Bolton
11,3,0.382139037433155,Margaret Cho
11,4,0.3835886688827864,The Situation
11,5,0.35454545454545455,Florence Henderson
11,6,0.35,Audrina Patridge
11,7,0.36423788632517273,Rick Fox
11,8,0.43423788632517274,Kurt Warner
11,9,0.48261515908574726,Brandy
12,2,0.40170544876427217,Mike Catherwood
12,3,0.382139037433155,Wendy Williams
12,4,0.3835886688827864,Sugar Ray Leonard
12,5,0.35454545454545455,Petra Nemcova
12,6,0.35,Chris Jericho
12,7,0.36423788632517273,Kendra Wilkinson
12,8,0.43423788632517274,Romeo
12,9,0.48261515908574726,Ralph Macchio
13,1,0.43049329049329044,Metta World Peace (Ron)
13,2,0.40170544876427217,Elisabetta Canalis
13,3,0.382139037433155,Kristin Cavallari
13,4,0.3835886688827864,Chynna Phillips
13,5,0.35454545454545455,Carson Kressley
13,6,0.35,Chaz Bono
13,7,0.36423788632517273,David Arquette
13,8,0.43423788632517274,Nancy Grace
13,9,0.48261515908574726,Hope Solo
14,2,0.40170544876427217,Martina Navratilova
14,3,0.382139037433155,Jack Wagner
14,4,0.3835886688827864,Sherri Sheperd
14,5,0.35454545454545455,Gavin DeGraw
14,6,0.35,Gladys Knight
14,7,0.36423788632517273,Jaleel White
14,8,0.43423788632517274,Melissa Gilbert
14,9,0.48261515908574726,Maria Menounos
15,1,0.43049329049329044,Pamela Anderson
15,2,0.40170544876427217,Joey Fatone
15,3,0.382139037433155,Drew Lachey
15,4,0.3835886688827864,Bristol Palin
15,6,0.35,Sabrina Bryan
15,8,0.43423788632517274,Kirstie Alley
15,9,0.48261515908574726,Emmitt Smith
16,3,0.382139037433155,Wynonna Judd
16,4,0.3835886688827864,Lisa Vanderpump
16,5,0.35454545454545455,D. L. Hughley
16,6,0.35,Victor Ortiz
16,7,0.36423788632517273,Andy Dick
16,8,0.43423788632517274,Sean Lowe
16,9,0.48261515908574726,Ingo Rademacher
16,10,0.4799780315074432,Alexandra Raisman
17,2,0.40170544876427217,Keyshawn Johnson
17,3,0.382139037433155,Bill Nye
17,4,0.3835886688827864,Valerie Harper
17,5,0.35454545454545455,Christina Milian
17,7,0.36423788632517273,"Nicole ""Snooki"" Polizzi"
17,8,0.43423788632517274,Brant Daugherty
17,9,0.48261515908574726,Elizabeth Berkley Lauren
17,10,0.4799780315074432,Leah Remini
17,11,0.5,Bill Engvall
18,2,0.40170544876427217,Diana Nyad
18,5,0.35454545454545455,Cody Simpson
18,6,0.35,Drew Carey
18,7,0.36423788632517273,NeNe Leakes
18,8,0.43423788632517274,Danica McKellar
18,9,0.48261515908574726,Charlie White
18,10,0.4799780315074432,James Maslow
19,1,0.43049329049329044,Lolo Jones
19,2,0.40170544876427217,Tavis Smiley
19,3,0.382139037433155,Randy Couture
19,4,0.3835886688827864,Betsey Johnson
19,6,0.35,Jonathan Bennett
19,7,0.36423788632517273,Antonio Sabato Jr.
19,8,0.43423788632517274,Michael Waltrip
19,9,0.48261515908574726,Lea Thompson
19,10,0.4799780315074432,Tommy Chong
19,11,0.5,Bethany Mota
20,2,0.40170544876427217,Redfoo
20,3,0.382139037433155,Charlotte McKinney
20,4,0.3835886688827864,Michael Sam
20,5,0.35454545454545455,Suzanne Somers
20,6,0.35,Patti LaBelle
20,7,0.36423788632517273,Willow Shields
20,8,0.43423788632517274,Chris Soules
20,9,0.48261515908574726,Nastia Liukin
21,2,0.40170544876427217,Chaka Khan
21,4,0.3835886688827864,Gary Busey
21,6,0.35,Paula Deen
21,7,0.36423788632517273,Hayes Grier
21,8,0.43423788632517274,Andy Grammer
21,9,0.48261515908574726,Alexa PenaVega
21,11,0.5,Carlos PenaVega
22,2,0.40170544876427217,Geraldo Rivera
22,3,0.382139037433155,Mischa Barton
22,4,0.3835886688827864,Marla Maples
22,6,0.35,Doug Flutie
22,7,0.36423788632517273,Kim Fields
22,8,0.43423788632517274,Jodie Sweetin
22,9,0.48261515908574726,Antonio Brown
23,2,0.40170544876427217,Jake T. Austin
23,3,0.382139037433155,Rick Perry
23,4,0.3835886688827864,Babyface
23,6,0.35,Amber Rose
23,7,0.36423788632517273,Maureen McCormick
23,8,0.43423788632517274,Ryan Lochte
23,9,0.48261515908574726,Marilu Henner
23,10,0.4799780315074432,Terra Jole
23,11,0.5,Jana Kramer
24,2,0.40170544876427217,Chris Kattan
24,3,0.382139037433155,Charo
24,4,0.3835886688827864,Mr. T
24,5,0.35454545454545455,Erika Jayne
24,6,0.35,Heather Morris
24,7,0.36423788632517273,Nick Viall
24,8,0.43423788632517274,Bonner Bolton
24,9,0.48261515908574726,Simone Biles
25,2,0.40170544876427217,Barbara Corcoran
25,4,0.3835886688827864,Derek Fisher
25,5,0.35454545454545455,Sasha Pieterse
25,6,0.35,Nick Lachey
25,7,0.36423788632517273,Nikki Bella
25,8,0.43423788632517274,Terrell Owens
25,9,0.48261515908574726,Victoria Arlen
25,10,0.4799780315074432,Drew Scott
26,1,0.43049329049329044,Johnny Damon
26,2,0.40170544876427217,Kareem Abdul-Jabbar
26,3,0.382139037433155,Jennie Finch Daigle
27,1,0.43049329049329044,Nikki Glaser
27,2,0.40170544876427217,Danelle Umstead
27,3,0.382139037433155,Nancy McKeon
27,4,0.3835886688827864,Tinashe
27,6,0.35,Mary Lou Retton
27,7,0.36423788632517273,DeMarcus Ware
27,8,0.43423788632517274,Joe Amabile
28,2,0.40170544876427217,Mary Wilson
28,4,0.3835886688827864,Lamar Odom
28,6,0.35,Sailor Brinkley-Cook
28,7,0.36423788632517273,Karamo Brown
28,8,0.43423788632517274,Kate Flannery
28,9,0.48261515908574726,Sean Spicer
28,10,0.4799780315074432,James Van Der Beek
29,2,0.40170544876427217,Charles Oakley
29,3,0.382139037433155,Carole Baskin
29,4,0.3835886688827864,Anne Heche
29,5,0.35454545454545455,Jesse Metcalfe
29,6,0.35,Veron Davis
29,7,0.36423788632517273,Monica Aldama
29,8,0.43423788632517274,Chrishell Stause
29,9,0.48261515908574726,AJ McLean
29,10,0.4799780315074432,Johnny Weir
30,2,0.40170544876427217,Martin Kove
30,3,0.382139037433155,Christine Chiu
30,4,0.3835886688827864,Matt James
30,5,0.35454545454545455,Melanie C
30,6,0.35,Kenya Moore
30,7,0.36423788632517273,"Mike ""The Miz"" Mizanin"
30,8,0.43423788632517274,Jimmie Allen
30,9,0.48261515908574726,Melora Hardin
31,1,0.43049329049329044,Jason Lewis
31,2,0.40170544876427217,Teresa Giudice
31,3,0.382139037433155,Cheryl Ladd
31,4,0.3835886688827864,Sam Champion
31,5,0.35454545454545455,Joseph Baena
31,6,0.35,Jessie James Decker
31,7,0.36423788632517273,Jordin Sparks
31,8,0.43423788632517274,Vinny Guadagnino
31,9,0.48261515908574726,Trevor Donovan
32,1,0.43049329049329044,Matt Walsh
32,2,0.40170544876427217,Jamie Lynn Spears
32,3,0.382139037433155,Tyson Beckford
32,4,0.3835886688827864,Adrian Peterson
32,5,0.35454545454545455,Mira Sorvino
32,6,0.35,Mauricio Umansky
32,7,0.36423788632517273,Lele Pons
32,8,0.43423788632517274,Barry Williams
32,9,0.48261515908574726,Harry Jowsey
33,2,0.40170544876427217,Anna Delvey
33,3,0.382139037433155,Eric Roberts
33,4,0.3835886688827864,Brooks Nader
33,5,0.35454545454545455,Phaedra Parks
33,6,0.35,Jenn Tran
33,7,0.36423788632517273,Dwight Howard 
34,2,0.40170544876427217,Corey Feldman
34,3,0.382139037433155,Lauren Jauregui
34,4,0.3835886688827864,Hilaria Baldwin
34,6,0.35,Scott Hoying
34,7,0.36423788632517273,Jen Affleck
34,8,0.43423788632517274,Danielle Fishel
34,9,0.48261515908574726,Andy Richter
34,10,0.4799780315074432,Whitney Leavitt
